Nama Pekerjaan,Link SPK,Status,Kategori Project,Progress Upload Teknis,Nilai Kontrak,Task Project,Status Selesai - Automated Test,Tanggal SPK Berakhir,Status Project,Link BAST,Keterangan Tender,Referensi,Url Folder Project,Tanggal Mulai SPK,BAST,Tim Eksternal,PIC,Satuan Kerja,Admin,Deadline Penulisan Ustek,Status Selesai Substansi,PIC Ustek,Pemberi Kerja,Link Referensi,Mekanisme Penunjukan,Status Penulisan Ustek,Tim Internal Project,Sisa Hari Pekerjaan,URL Ustek,Tahapan,Manajemen Penagihan,SPK,Jumlah Hari Berjalan,Peringkat,Urgensi Deadline,Deadline/Pengumuman,Last Update,Tim Penulis Ustek,Lokasi,PIC Project
Jasa Konsultansi Kajian Rekomendasi Kebijakan dan Tata Kelola Ekosistem Digital,,optNEdbwBI,opt0Ikmm7g,,1310120000,,,,,,Tidak Memiliki pengalaman pekerjaan sejenis dan pengalaman pekerjaan sejenis dengan nilai minimal 50% HPS,,,,,,,Direktorat Jenderal Ekosistem Digital,,,,recvmSihvvFfgX,Kementerian Komunikasi dan Digital,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-02 00:00:00,1784881328,,optcnBp9rk,
Pengembangan Aplikasi Sistem Informasi Manajemen Pengawasan SIMAWAS AI (Artificial Intelligence),,optNEdbwBI,opt0Ikmm7g,,458948925,,,,,,1. Tidak memiliki pengalaman sejenis 3 tahun terakhir 2. Tidak memiliki pengalaman pekerjaan sejenis tertinggi dalam kurun waktu 10 tahun terakhir paling kurang sama dg 50% nilai HPS 3. Tidak memenuhi nilai ambang batas minimal,,,,,,,INSPEKTORAT JENDERAL KEMENTERIAN KEHUTANAN,,,,,Kementerian Kehutanan,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-04-28 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Dokumen Kajian Strategis Penurunan Tingkat Pengangguran Terbuka (TPT),,opty2DWWuN,opt0Ikmm7g,,180000000,,,,,,,,,,,,,Badan Perencanaan Pembangunan Riset dan Inovasi Daerah,,,,,Kota Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-08 00:00:00,1787030210,,optcnBp9rk,
"RISET BRAND EQUITY, PEMAHAMAN PESERTA, DAN KEPUASAN PESERTA BPJS KETENAGAKERJAAN 2026",,optv1IItaE,opt0Ikmm7g,,,,,,,,,,,,,,,DEPUTI BIDANG AKTUARIA DAN RISET,,,,,BPJS KETENAGAKERJAAN,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,,,2026-09-01 00:00:00,1788508976,,optcnBp9rk,
Penyusunan Dokumen PDRB Ekonomi Kreatif Kota Bekasi Tahun 2025,,optTq0MDaF,opt0Ikmm7g,,140000000,,,,,,,,,,,,,Badan Perencanaan Pembangunan Riset dan Inovasi Daerah,,,,,Kota Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,,1787217892,,optcnBp9rk,
Penyusunan Dokumen Indeks Kepuasan Layanan Infrastruktur (IKLI) Kota Bekasi,,optNEdbwBI,opt0Ikmm7g,,355310000,,,,,,Skor Teknis rendah 68,,,,,,,Badan Perencanaan Pembangunan Riset dan Inovasi Daerah,,,,recvmSiRsxf2ki,Kota Bekasi,,optH2rZrfo,,,,,optUScYWtB,,,,Juara 2,,2026-07-09 00:00:00,1784881328,recvajTXiwF9KO,optcnBp9rk,
Kajian-2 Persiapan Implementasi Teknologi Non-Terrestrial Network Direct to Device berbasis Satelit Dit. Prestasi ,,opty2DWWuN,opt0Ikmm7g,,1691706600,,,,,,,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-04-21 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Survei Standar Harga Pemerintah Provinsi Jawa Timur,,opty2DWWuN,opt0Ikmm7g,,249801363.03,,,,,,Pembuktian 3-4 Agustus,,,,,,,BIRO ADMINISTRASI PEMBANGUNAN,,,,,Provinsi Jawa Timur,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Tidak Potensial,,2026-08-04 00:00:00,1786372889,,optcnBp9rk,
Penyusunan Dokumen Evaluasi Lingkungan Hidup,,optNEdbwBI,opt0Ikmm7g,,612804000,,,,,,"Dengan alasan Tidak memenuhi ambang batas 75,00",,,,,,,Rumah Sakit Umum Daerah Karawang,,,,,Kab Karawang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-18 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Khusus,,optNEdbwBI,opt0Ikmm7g,,584550000,,,,,,Tidak Memenuhi Nilai Ambang Batas,,,,,,,Dinas Perdagangan Dan Perindustrian,,,,,Kota Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-14 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Lainnya-Jasa Konsultansi Lingkungan,,opty2DWWuN,opt0Ikmm7g,,229915000,,,,,,,,,,,,,"DINAS KESEHATAN DAERAH, PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA",,,,,Kab. Pasuruan,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Tidak Potensial,,2026-08-04 00:00:00,1786372938,,optcnBp9rk,
Akselerasi Implementasi Ekonomi Biru Melalui Sekretariat Nasional,,optTq0MDaF,opt0Ikmm7g,,1478998410,,,,,,,,,,,,,KANTOR MENTERI NEGARA PPN BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-18 00:00:00,1788497364,,optcnBp9rk,
Jasa Konsultan Pembuatan Feasibility Study,,optJGac5R3,opt0Ikmm7g,,244200000,"recvuf4BOQ07CC, recvuARS8udREC, recvuASbuhI0jq",,,,,,,,,,,,,,,optbF5FFtB,,PT Pelat Timah Nusantara Tbk,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,recvuf4BX0FG9t,,,,,2026-08-30 00:00:00,1788848965,,optcnBp9rk,
Pendampingan Implementasi Industri 4.0 Sektor Industri Kimia Hilir dan Farmasi,,opty2DWWuN,opt0Ikmm7g,,164948220,,,,,,,,,,,,,Direktorat Jenderal Industri Kimia Farmasi dan Tekstil,,,,,Kementerian Perindustrian,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-04-28 00:00:00,1784881328,,optcnBp9rk,
Pengelolaan RDF Plant Rorotan (Pelaporan Implementasi Pengelolaan Lingkungan),,optNEdbwBI,opt0Ikmm7g,,1693240398,,,,,,Tidak memiliki pengalaman sejenis,,,,,,,UNIT PENGELOLA SAMPAH TERPADU,,,,,Prov. DKI Jakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-04-21 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik (Inventarisasi Keanekaragaman Hayati di Kota Tangerang),,optv1IItaE,opt0Ikmm7g,,236296800,,,,,,Pembuktian 8-11 September,,,,,,,DINAS LINGKUNGAN HIDUP,,,,,Kota Tangerang,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Medium Potential,,2026-09-08 00:00:00,1788836172,,optcnBp9rk,
Penyusunan Dokumen Kajian Risiko Bencana Kabupaten/Kota,,optNEdbwBI,opt0Ikmm7g,,491647860,,,,,,Tidak memiliki pengalaman pekerjaan yang serupa (similar) dalam kurun waktu 10 (sepuluh) tahun terakhir,,,,,,,Badan Penanggulangan Bencana Daerah,,,,recvajTXiw6gFo,Kota Bandung,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-08 00:00:00,1784881328,,optcnBp9rk,
Pengembangan Aplikasi Tool Validasi,,optNEdbwBI,opt0Ikmm7g,,995587018,,,,,,Dengan alasan Nilai unsur pengalaman belum memenuhi ambang batas,,,,,,,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,,,Kementerian ATR/BPN,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-24 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Kajian Dampak Ekonomi dari Keberadaan Kawasan Ekonomi Khusus (KEK) yang Menampung Data Center dan CLS Internasional (Studi Kasus Kota Batam dan Nongsa Digital Park),,optNEdbwBI,opt0Ikmm7g,,201199998,,,,,,Dengan alasan Tidak memenuhi ambang batas yang dipresyaratkan didalam dokumen kualifikasi,,,,,,,Direktorat Jenderal Infrastruktur Digital,,,,,Kementerian Komunikasi dan Digital,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-29 00:00:00,1784881328,,optcnBp9rk,
Penyusunan IKLI Dinas Pekerjaan Umum dan Penataan Ruang Provinsi Banten,,optNEdbwBI,opt0Ikmm7g,,300000000,,,,,,,,,,,,,Dinas Pekerjaan Umum dan Penataan Ruang,,,,,Provinsi Banten,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-20 00:00:00,1784881328,,optcnBp9rk,
Belanja Jasa Konsultansi Standar harga - Penyusunan Standar Harga,,optNEdbwBI,opt0Ikmm7g,,298967866,,,,,,Dengan alasan Tidak masuk dalam daftar pendek,,,,,,,Badan Pengelolaan Keuangan Daerah,,,,,Kab. Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-13 00:00:00,1784881328,,optcnBp9rk,
IPRO BERSERI,,optJGac5R3,opt0Ikmm7g,,34909500,"recvmMCKCzjMcU, recvmMIJ21YNYp, recvmMIJ21y4mF, recvmMIJ21FaCf, recvmMIJ21redB, recvmMIJ21tIeV, recvmMIJ21mm29, recvmMIJ21ONLO, recvmMIJ21tpcw, recvmMIJ21fGy3, recvmMIJ21NPnJ, recvmMIJ21r4uJ, recvmMJ30OcY1c, recvmMJ44v7UaI, recvmMJit6cfDi, recvmMJk6eixz5, recvmMJrbpwuLs, recvmUnJg9OdrE, recvmUo5sp79Li, recvmUo5MvpEPB, recvmYhtp0vIzD",,2026-06-18 00:00:00,,,,False,,2026-05-20 00:00:00,True,,,,,,optaBJGH5a,recvajTXiwF9KO,DPMPTSP Kota Bogor,,optvqUXNkj,optJXoIXNF,recvajTXiwF9KO,,,,recvmWScetF5y3,True,,,,,1788241192,,optcnBp9rk,recvajTXiw5De8
Konsultan Pengawasan Platform Digital Pendidikan,,optNEdbwBI,opt0Ikmm7g,,2820356820,,,,,,Skor kualifikasi tidak memenuhi nilai masing-masing unsur di atas ambang batas.,,,,,,,PUSAT DATA DAN TEKNOLOGI INFORMASI,,,,,Kementerian Pendidikan Dasar dan Menengah,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-18 00:00:00,1784881328,,optcnBp9rk,
Feasibility Study Rencana Peningkatan Kapasitas Produksi,,optv1IItaE,opt0Ikmm7g,,300000000,,,,,,,,,,,,,,,,,,PT Latinusa,,optvqUXNkj,optJXoIXNF,,,,,,,,,,,1786431068,,optcnBp9rk,
Penelusuran Dokumen Administrasi Pertanahan Kabupaten Bantul dan Kabupaten Kulon Progo,,optNEdbwBI,opt0Ikmm7g,,447332500,,,,,,Pembuktian di daerah,,,,,,,DINAS PERTANAHAN DAN TATA RUANG,,,,,Prov. DI Yogyakarta,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-04-23 00:00:00,1784881328,,optcnBp9rk,
Kajian Link and Match,,optJGac5R3,opt0Ikmm7g,,24100000,,,,,,,,,,,,,,,,optbF5FFtB,,DPMPTSP Kota Bogor,,optvqUXNkj,optNtkntdg,recvtWCEgFDJS9,,,,,True,,,,,1788929967,,optcnBp9rk,recvajTXiw5De8
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1787586232,,,
Belanja Jasa Konsultansi Penyusunan D3TLH,,optTq0MDaF,opt0Ikmm7g,,200000000,,,,,,Dengan alasan Skor Kualifikasi tidak memenuhi nilai ambang batas minimal,,,,,,,Dinas Lingkungan Hidup,,,,,Kota Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-08-06 00:00:00,1786688570,,optcnBp9rk,
Jasa konsultansi Penyusunan Dokumen Perencanaan Pengadaan Tanah Jalan Kalimalang Sisi Utara Grand Wisata - Cibitung,,optNEdbwBI,opt0Ikmm7g,,274527075,,,,,,Dengan alasan Nilai kualifikasi teknis dibawah passing grade.,,,,,,,"Dinas Sumber Daya Air, Bina Marga dan Bina Konstruksi",,,,,Kab Bekasi,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-25 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultan Transformasi Kebijakan Ekosistem Investasi Terkait Efisiensi Icor,,optNEdbwBI,opt0Ikmm7g,,321813000,,,2026-06-14 00:00:00,,,,,,2026-06-06 00:00:00,,,,DEPUTI BIDANG PENGEMBANGAN IKLIM PENANAMAN MODAL,,,,recvajTXiw5De8,BKPM,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,,,2026-05-22 00:00:00,1784881328,,optcnBp9rk,
,,opty2DWWuN,opt0Ikmm7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784881328,,,
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Survei Kepuasan Masyarakat,,optNEdbwBI,opt0Ikmm7g,,294160500,,,,,,Nilai masing-masing unsur dan/atau nilai total dibawah ambang batas sesuai persyaratan dalam Dokumen Pemilihan,,,,,,,SEKRETARIAT DAERAH,,,,,Kota Tangerang,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Prioritas ,,2026-07-28 00:00:00,1786022543,,optcnBp9rk,
Kajian Teknis Penugasan AJN ,,optJGac5R3,opt0Ikmm7g,,50000000,,,,,,,,,,,,,,,,optaBJGH5a,,Kementerian Kelautan dan Perikanan,,optvqUXNkj,optNtkntdg,"recvajTXiw5De8, recvafrT4ocHBE",,,,,,,,,,1788850693,,optcnBp9rk,recvajTXiw6gFo
Operasionalisasi Dashboard Pencegahan,,optTq0MDaF,opt0Ikmm7g,,347985000,,,,,,1.Tidak memiliki pengalaman dalam penyusunan kajian risiko iklim dan bencana 2. Tidak Memiliki pengalaman dalam pengembangan model metodologi analisis dan rekomendasi strategi untuk pengelolaan risiko iklim 3. Tidak memiliki pengalaman Integrasi data spasial dan nonspasial ke dalam sistem informasi berbasis web,,,,,,,Badan Nasional Penanggulangan Bencana,,,,,Badan Nasional Penanggulangan Bencana,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-04 00:00:00,1787030094,,optcnBp9rk,
Pengadaan Jasa Konsultan Penyusunan Buku Perkembangan Sejarah Kejahatan Keuangan di Indonesia TA 2026,,optTq0MDaF,opt0Ikmm7g,,233655000,,,,,,"Dengan alasan Penyedia tidak memiliki pengalaman pekerjaan yang memenuhi Pekerjaan yang sejenis berdasarkan jenis pekerjaan, kompleksitas pekerjaan, metodologi, teknologi, atau karakteristik lainnya yang bisa menggambarkan kesamaan, paling kurang 1 pekerjaan dalam kurun waktu 3 (tiga) tahun terakhir baik di lingkungan pemerintah maupun swasta, termasuk pengalaman subkontrak (Penyusunan buku sesuai dengan KAK yang dipersyaratkan).",,,,,,,Pusat Pelaporan Dan Analisis Transaksi Keuangan,,,,,Pusat Pelaporan Dan Analisis Transaksi Keuangan,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Medium Potential,,2026-08-04 00:00:00,1786372758,,optcnBp9rk,
Konsultan Manajemen Data dan Informasi Jalan dan Jembatan,,optNEdbwBI,opt0Ikmm7g,,4133509020,,,,,,Tidak memiliki pengalaman sejenis,,,,,,,,,,,,Kementerian Pekerjaan Umum,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-01-21 00:00:00,1784881328,,optcnBp9rk,
Pemetaan Potensi Usaha KDKMP,,optv1IItaE,opt0Ikmm7g,,1199799000,,,,,,High Potential,,,,,,,Deputi Bidang Pengembangan Usaha Koperasi,,,,,Kementerian Koperasi,,optH2rZrfo,optNtkntdg,,,,optl696BMz,,,,,,2026-09-12 00:00:00,1788517867,,optcnBp9rk,
Penyusunan Dokumen RPPMA dan RPPMU Kabupaten Karawang,,optNEdbwBI,opt0Ikmm7g,,399822000,,,,,,Tidak memenuhi passing grade,,,,,,,Dinas Lingkungan Hidup,,,,,Kab. Karawang,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-06-30 00:00:00,1784881328,,optcnBp9rk,
Penyusunan Dokumen PDRB Ekonomi Kreatif Kota Bekasi Tahun 2025,,optv1IItaE,opt0Ikmm7g,,140000000,,,,,,Pembuktian 8 September,,,,,,,Badan Perencanaan Pembangunan Riset dan Inovasi Daerah,,,,,Kota Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-08 00:00:00,1788836175,,optcnBp9rk,
Penyusunan Dokumen Kajian Risiko Bencana Provinsi Banten,,optNEdbwBI,opt0Ikmm7g,,225000000,,,,,,"Gugur, tidak melampirkan SPT tahun 2025, tidak melampirkan pengalaman sejenis 3 tahun terakhir dan pengalaman sejenis minimal 50% HPS",,,,,,,Badan Penanggulangan Bencana Daerah,,,,,Provinsi Banten,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-03-06 00:00:00,1784881328,,optcnBp9rk,
Jasa Konsultansi Penilaian Perwujudan RTR (Rencana Tata Ruang,,optNEdbwBI,opt0Ikmm7g,,298633000,,,,,,,,,,,,,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,,,,recvmSihvvFfgX,Kota Depok,,optH2rZrfo,optNtkntdg,,,,optUScYWtB,,,,Urutan 6,,2026-04-15 00:00:00,1784881328,,optcnBp9rk,
,,,,,,,,,,,,,,,,,,,,,,,,,,optNtkntdg,,,,,,,,,,,1788502118,,,
"PENGADAAN JASA KONSULTAN SALES, MARKETING DAN BRANDING RSUP DR. SOERADJI TIRTONEGORO KLATEN",,optNEdbwBI,opt0Ikmm7g,,1642355095,,,,,,,,,,,,,RSU PUSAT DR SOERADJI TIRTONEGORO,,,,,Kemenkes,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-02-20 00:00:00,1784881328,,optcnBp9rk,
Perumusan Indeks Keberlanjutan Penyelenggara Penyiaran,,optJGac5R3,opt0Ikmm7g,,96348000,"recvmMCJw6BImx, recvmYh1sPPz22, recvmYhA3dlZa5, recvmYlp4HdBJM, recvmYlCigH56d, recvpSySlDFeyA, recvpSyVOZAmjt, recvpSz5ewQAiC, recvpSz9MwOYfx",,2026-08-07 00:00:00,,,Pinjam Bendera (Tenos),,,2026-06-08 00:00:00,,recvafrYUgy1Vx,,,,,optaBJGH5a,recvmSihvvFfgX,Kementerian Komunikasi dan Digital,,optvqUXNkj,optJXoIXNF,recvajTXiwF9KO,,,,recvmWSbIRXmn3,,,,,,1788850653,,optcnBp9rk,recvmSiRsxf2ki
Belanja Jasa Konsultansi Berorientasi Layanan-Jasa Studi Penelitian dan Bantuan Teknik ( Jasa Konsultansi Penyusunan Dokumen Perencanaan Pengadaan Tanah (DPPT) untuk Sanitary Landfill TPPAS Burangkeng),,optNEdbwBI,opt0Ikmm7g,,320976485.55,,,,,,Nilai kualifikasi teknis dibawah passing grade.,,,,,,,Dinas Lingkungan Hidup,,,,,Kab. Bekasi,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,,1788773848,,optcnBp9rk,
Belanja Jasa Konsultan Pendamping PKM Tahap I,,optTq0MDaF,opt0Ikmm7g,,477599700,,,,,,Tidak Lolos,,,,,,,"Dinas Koperasi, Usaha Kecil dan Menengah",,,,,Kab. Musi Banyuasin,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-17 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Penyusunan Naskah Akademik Raperda tentang Pengelolaan Museum Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,224635000,,,,,,Tidak diundang pembuktian kualifikasi karena sudah diperoleh 7 peserta daftar pendek,,,,,,,SEKRETARIAT DPRD,,,,,Provinsi DI Yogyakarta,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-07-27 00:00:00,1785336422,,optcnBp9rk,
Kajian Pengembangan dan Penerapan Teknologi Dalam Pengolahan Sampah,,optNEdbwBI,opt0Ikmm7g,,827680000,,,,,,Dengan alasan Tidak lulus passing grade,,,,,,,DINAS LINGKUNGAN HIDUP,,,,,Provinsi Jakarta,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-12 00:00:00,1784881328,,optcnBp9rk,
Change Management Transformasi Pelayanan Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,,optTq0MDaF,opt0Ikmm7g,,949957980,,,,,,Dengan alasan Tidak memenuhi Ambang Batas Karena Tidak Melampirkan Surat Keputusan Pengangkatan Tenaga Ahli Tetap,,,,,,,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,,,Kementerian Agraria dan Tata Ruang/BPN,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-08-04 00:00:00,1786596856,,optcnBp9rk,
Penyusunan Peta Potensi dan Peluang Investasi Provinsi TA. 2026,,optNEdbwBI,opt0Ikmm7g,,150000000,,,,,,Pembuktian di daerah,,,,,,,Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,,,,,Provinsi Kalimantan Tengah,,optH2rZrfo,,,,,optIauj19z,,,,,,2026-09-06 00:00:00,1784881328,,optcnBp9rk,
Pemuktahiran Dokumen Rencana Penanggulangan Bencana Provinsi Banten,,optTq0MDaF,opt0Ikmm7g,,200000000,,,,,,"idak mermiliki SBU sesuai Persyaratan, pekerjaan yang serupa (similar), dan nilai pekerjaan sejenis tertinggi dalam kurun waktu 10 (sepuluh) tahun terakhir",,,,,,,Badan Penanggulangan Bencana Daerah,,,,,Provinsi Banten,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,,1788702993,,optcnBp9rk,
Validasi Spasial-Administratif Titik Kantor Pemerintahan terhadap Kode dan Data Wilayah Administrasi Pemerintahan,,optv1IItaE,opt0Ikmm7g,,609356700,,,,,,Pembuktian 8-11 September,,,,,,,DIREKTORAT JENDERAL BINA ADMINISTRASI KEWILAYAHAN,,,,,Kementerian Dalam Negeri,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-08 00:00:00,1788836182,,optcnBp9rk,
KAJIAN REKOMENDASI KEBIJAKAN IMPLEMENTASI PROGRAM KERJA PRIORITAS NASIONAL (PKPN) LINGKUP KONEKTIVITAS DAN INFRASTRUKTUR LOGISTIK,,optv1IItaE,opt0Ikmm7g,,1253944800,,,,,,Pembuktian 8-14 September,,,,,,,KANTOR MENTERI NEGARA PPN / BAPPENAS,,,,,Kementerian Perencanaan Pembangunan Nasional,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-09-08 00:00:00,1788774027,,optcnBp9rk,
Endline Survey Program Transformasi Ekonomi Kampung Terpadu (TEKAD),,optNEdbwBI,opt0Ikmm7g,,3775183000,,,,,,Dengan alasan Tidak menyampaikan SBU Non Konstruksi di Bidang Pengembangan Pertanian dan Perdesaan (1.01),,,,,,,DIREKTORAT JENDERAL PENGEMBANGAN EKONOMI DAN INVESTASI DESA DAN DAERAH TERTINGGAL,,,,,Kementerian Desa dan Pembangunan Daerah Tertinggal,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,Prioritas,,2026-07-27 00:00:00,1785418518,,optcnBp9rk,
Konsultan Penyusunan Kajian dan Rekomendasi kebijakan Mengenai Keterkaitan Just Energy Transition (JET) dan Nationally Determined Contribution (NDC) Indonesia ,,optv1IItaE,opt0Ikmm7g,,350000000,,,,,,,,,,,,,Yayasan WWF Indonesia,,,,,Yayasan WWF Indonesia,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,,,,,,2026-08-10 00:00:00,1787044257,,optcnBp9rk,
Penyusunan Peta Peluang Investasi (PPI) Pengembangan Investasi Industri Garam Industri Jawa Barat T.A. 2026,,optJGac5R3,opt0Ikmm7g,"opt6CUNgeO, optJewAt8b, optCA956ny",171811350,recvs8xKWztEt6,,2026-12-21 00:00:00,,,High Potential,,,2026-08-21 00:00:00,,"recvafrYUgZUJt, recvmRFgTMrePU",,DEPUTI BIDANG PERENCANAAN PENANAMAN MODAL,,,optbF5FFtB,recvmSiKdyRKnH,Kementerian Investasi dan Hilirisasi/BKPM,,optH2rZrfo,optJXoIXNF,,,,optUScYWtB,recvs8xL6rNLrm,True,,,,2026-08-01 00:00:00,1788848991,recvajTXiw3Ps8,optcnBp9rk,
Belanja Jasa Konsultansi Penyusunan Naskah Akademik dan Raperda RTRW Kabupaten Serang,,optNEdbwBI,opt0Ikmm7g,,349842030,,,,,,A tidak memiliki atau melampirkan SBU Bidang Usaha/Sub Bidang Usaha/Klasifikasi/Sub Klasifikasi: Jasa Konsultansi Manajemen dengan subbidang Konsultansi Hukum,,,,,,,"
, Dinas Pekerjaan Umum dan Penataan Ruang",,,,,Kab. Serang,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,,,2026-08-04 00:00:00,1786520997,,optcnBp9rk,
Revisi Dokumen Perencanaan Pengadaan Tanah Jalan Lingkar Utara,,optNEdbwBI,opt0Ikmm7g,,299994705,,,,,,,,,,,,,Dinas Pekerjaan Umum dan Penataan Ruang,,,,,Kota Cilegon,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-05-12 00:00:00,1784881328,,optcnBp9rk,
Pengadaan Jasa Konsultansi Verifikasi Laporan Penyelenggaraan Subsidi Prasarana dan Sarana MRT Jakarta Tahun 2026,,optNEdbwBI,opt0Ikmm7g,,963764032,,,,,,Tidak Lulus Ambang Batas Kualifikasi,,,,,,,Dinas Perhubungan,,,,,DKI Jakarta,,optH2rZrfo,,,,,opt2M0SOCW,,,,,,2026-02-23 00:00:00,1784881328,,optcnBp9rk,
Survei Budaya Risiko Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional,,optNEdbwBI,opt0Ikmm7g,,258186000,,,,,,Tidak memenuhi nilai ambang batas pengalaman perusahaan dan SDM Perusahaan,,,,,,,KANTOR PUSAT BADAN PERTANAHAN NASIONAL REPUBLIK INDONESIA,,,,,Kementerian Agraria dan Tata Ruang/BPN,,optH2rZrfo,optNtkntdg,,,,opt2M0SOCW,,,,High Potential,,2026-07-27 00:00:00,1785741406,,optcnBp9rk,
PHONE SURVEI NASIONAL (ISU DAN POLITIK NASIONAL),,optJGac5R3,opt9Viclbu,,430000000,"recvmWLWG2ysCk, recvmWQHgpsL0E, recvmWQIYfFSAS, recvmWQLaDo0J7, recvmWQLaDLMQg, recvmWQLaDs28g, recvmWQLaDLE7G, recvmWQLaDRjI6, recvmWQLaD4bPD, recvmWQLaDJh2R, recvmWQLaD5pc8, recvmWQLaDU4Pp, recvmWQLaDhAsz, recvmWQLaD6jEj, recvmWQLaDf1i1, recvmWQLaDIrnI, recvmWQLaDb7zO",,2026-06-10 00:00:00,,,,,,2026-05-22 00:00:00,,,,,,,optaBJGH5a,,IBU STEVIE,,optvqUXNkj,optNtkntdg,,,,,recvmWSjYTcoMv,,,,,,1784881328,,optcnBp9rk,recvafrT4oJ79C
